chr	geneName	NC_MeanValue	NC_pVal	NC_adjPval	TC_MeanValue	TC_pVal	TC_adjPval	LT_MeanValue	LT_pVal	LT_adjPval	AllCount	LTUnique	TCUnique	NCUnique
chr1_KI270762v1_alt	TNFRSF14-AS1	0.863908224757952	0	0	0.471794916617412	0.396	0.968735308094408	0.217258671726875	1	1	131	FALSE	FALSE	TRUE
chr1_KI270762v1_alt	TTC34	0.14289124516501	1	1	0.261908649293377	1	1	0.0352381509260659	1	1	686	FALSE	FALSE	FALSE
chr1_KI270763v1_alt	AKT3	0.481975781328458	0.011	0.0217737118687516	0.359623176247476	1	1	0.379134261748131	1	1	5606	FALSE	FALSE	FALSE
chr1_KI270763v1_alt	CEP170	0.34530798827729	1	1	0.398999236628305	0.999	1	0.483861267396818	0.074	0.290129220614369	2040	FALSE	FALSE	FALSE
chr1_KI270763v1_alt	LINC01347	0.26235207676274	1	1	0.403612151178668	0.979	1	0.306359186034383	1	1	755	FALSE	FALSE	FALSE
chr1_KI270763v1_alt	MIR4677	0.18508748356139	0.673	1	0.257270304600589	0.61	1	-0.0484929059203001	0.911	1	3	FALSE	FALSE	FALSE
chr1_KI270763v1_alt	SDCCAG8	0.496763381302393	0.002	0.00416238797924669	0.437297506121814	0.957	1	0.471323905483304	0.148	0.527312954204637	3848	FALSE	FALSE	FALSE
chr1_KI270765v1_alt	LOC101927429	0.353299289738323	0.917	1	0.579048931814772	0.093	0.30564918067674	0.618148465016603	0.037	0.157760767531751	89	FALSE	FALSE	FALSE
chr1_KI270765v1_alt	LOC105371215	-0.0273377887638933	1	1	0.242514980272628	0.937	1	-0.00306920259082082	1	1	29	FALSE	FALSE	FALSE
chr1_KI270765v1_alt	PPIAL4D	0.013831370244528	0.983	1	0.190199245826009	0.885	1	0.276319365793453	0.782	1	12	FALSE	FALSE	FALSE
chr1_KI270765v1_alt	PPIAL4E	0.013831370244528	0.987	1	0.190199245826009	0.894	1	0.276319365793453	0.748	1	12	FALSE	FALSE	FALSE
chr1_KI270765v1_alt	PPIAL4F	0.013831370244528	0.991	1	0.190199245826009	0.892	1	0.276319365793453	0.776	1	12	FALSE	FALSE	FALSE
chr1_KI270765v1_alt	RNVU1-2A	-0.152212856899075	0.988	1	0.043914153097948	0.797	1	-0.0484929059203001	0.91	1	3	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	HNRNPCL2	-0.186199514892395	1	1	0.12125479186812	0.889	1	0.2973609298991	0.683	1	8	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	HNRNPCL3	0.142555490420592	0.985	1	0.13486875756294	0.985	1	0.061281043792608	0.996	1	24	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	HNRNPCL4	0.0901571117928396	0.998	1	0.261358992475503	0.922	1	0.116168018649062	0.999	1	32	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	LINC01784	-0.11353805673064	0.996	1	0.043914153097948	0.958	1	-0.0484929059203	0.99	1	8	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF10	-0.171676877932379	1	1	0.18456222751302	0.995	1	0.0975936469194778	1	1	49	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF11	0.101899786653489	1	1	0.288557456110452	0.983	1	0.285552088384269	0.99	1	97	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF13	-0.0233811609956452	1	1	0.155003314887377	1	1	0.0208380096878524	1	1	57	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF18	0.0257917880949458	1	1	0.185544583763533	0.989	1	0.0709316780096866	1	1	41	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF2	-0.0166098921884757	1	1	0.16117493498679	0.999	1	0.0246897272216387	1	1	54	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF22	0.0213064624056461	1	1	0.168329306539495	0.991	1	0.0176747689598277	1	1	37	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF25	-0.0074938857568801	1	1	0.239117380601514	0.999	1	0.140067685225049	1	1	103	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF26	-0.0045378840388545	1	1	0.234965205281339	1	1	0.141916318471572	1	1	102	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF27	0.0746220831312878	1	1	0.289103972093881	1	1	0.26431785958695	1	1	206	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF33	-0.171676877932379	1	1	0.18456222751302	0.997	1	0.0975936469194778	1	1	49	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF34P	-0.0539677011569359	1	1	0.159476995584375	1	1	-0.0130560688453045	1	1	101	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF36P	-0.0539677011569359	1	1	0.159476995584375	1	1	-0.0130560688453045	1	1	101	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF4	0.0536747766727072	1	1	0.291865100514143	0.984	1	0.248142772292203	0.997	1	108	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF5	0.0879514963164324	1	1	0.276812463719527	0.996	1	0.237562368031444	1	1	143	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF6	0.093582099966247	1	1	0.280115985856003	0.998	1	0.241619889647781	1	1	141	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF7	-0.08380268381165	1	1	0.16055594473294	0.997	1	0.0937538229706229	1	1	45	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF8	-0.08380268381165	1	1	0.16055594473294	0.997	1	0.0937538229706229	1	1	45	FALSE	FALSE	FALSE
chr1_KI270766v1_alt	PRAMEF9	-0.00489423970816313	1	1	0.253671584124489	0.982	1	0.166624084965454	1	1	59	FALSE	FALSE	FALSE
chr1_KI270892v1_alt	OR2T1	0.0102791826233503	0.935	1	0.043914153097948	0.916	1	-0.0484929059203001	0.984	1	6	FALSE	FALSE	FALSE
chr1_KI270892v1_alt	OR2T2	-0.0470548296064311	1	1	0.320013484995066	0.732	1	0.311600792724033	0.747	1	15	FALSE	FALSE	FALSE
chr1_KI270892v1_alt	OR2T3	-0.0404784171076056	1	1	0.288934085641637	0.764	1	0.0322868493661163	0.988	1	14	FALSE	FALSE	FALSE
chr1_KI270892v1_alt	OR2T4	0.179994914748599	0.908	1	0.221620335549263	0.861	1	-0.0484929059203001	1	1	13	FALSE	FALSE	FALSE
chr1_KI270892v1_alt	OR2T5	-0.190154068846761	1	1	0.043914153097948	0.995	1	-0.0484929059203001	0.999	1	17	FALSE	FALSE	FALSE
chr1_KI270892v1_alt	OR2T6	-0.10388156636704	0.997	1	0.132303454549573	0.881	1	0.139691007873257	0.871	1	7	FALSE	FALSE	FALSE
chr1_KI270892v1_alt	OR2T7	0.0507625173145787	0.987	1	0.218498371290589	0.887	1	0.163553951706543	0.931	1	16	FALSE	FALSE	FALSE
chr1	A3GALT2	1.44058009848344	0	0	0.636644624626154	0.001	0.00505846708155913	0.665354402141388	0	0	272	FALSE	FALSE	TRUE
chr1	AADACL3	0.220393180869113	1	1	0.31579060326128	0.978	1	0.234585775346237	1	1	130	FALSE	FALSE	FALSE
chr1	AADACL4	0.904736717101953	0	0	0.525882912991139	0.0610000000000001	0.212341598106616	0.479572705802341	0.284	0.890639455782313	370	FALSE	FALSE	TRUE
chr1	ABCA4	1.06030128562478	0	0	0.485911190511764	0.05	0.178578862164663	0.487978490953943	0.039	0.165125839616176	2178	FALSE	FALSE	TRUE
chr1	ABCB10	0.809560038287443	0	0	0.501345335847087	0.091	0.299905783183952	0.576327894106524	0	0	685	FALSE	FALSE	TRUE
chr1	ABCD3	0.610892741288486	0	0	0.491548497891371	0.0590000000000001	0.206309634325824	0.500548247040016	0.021	0.0951763756419663	1618	FALSE	FALSE	FALSE
chr1	ABL2	1.02100349740454	0	0	0.621753587834371	0	0	0.695768605800894	0	0	2236	FALSE	FALSE	TRUE
chr1	ACADM	0.512217724470575	0.055	0.102133409487164	0.44258522614049	0.664	1	0.532018822182406	0.012	0.0573397277227723	596	FALSE	FALSE	FALSE
chr1	ACAP3	1.85224280321023	0	0	0.571750249805701	0.00900000000000001	0.0389495586380833	0.245235954834754	1	1	300	FALSE	FALSE	TRUE
chr1	ACBD3	1.03278658396873	0	0	0.763408993552986	0	0	0.823342137510963	0	0	709	FALSE	FALSE	TRUE
chr1	ACBD3-AS1	0.545426220656362	0.122	0.217702582471547	0.543479720641505	0.162	0.484807092336014	0.458007402008449	0.494	1	106	FALSE	FALSE	FALSE
chr1	ACBD6	0.482109597385919	0.04	0.0752836512095546	0.437817654789056	0.908	1	0.441748503290377	0.841	1	2857	FALSE	FALSE	FALSE
chr1	ACKR1	1.29824711754777	0	0	0.300719237733338	0.834	1	0.305297098917262	0.844	1	27	FALSE	FALSE	TRUE
chr1	ACOT11	0.880291026877115	0	0	0.470733222003399	0.262	0.712609545614653	0.391790025020917	1	1	1595	FALSE	FALSE	TRUE
chr1	ACOT7	1.4330944609261	0	0	0.677671854493903	0	0	0.445658448307437	0.778	1	2479	FALSE	FALSE	TRUE
chr1	ACP6	0.42178322153967	0.808	1	0.388894799078344	0.952	1	0.534734981098002	0.026	0.115183878370625	380	FALSE	FALSE	FALSE
chr1	ACTA1	0.0200722602615791	1	1	0.150248625216618	0.991	1	-0.0484929059203001	1	1	32	FALSE	FALSE	FALSE
chr1	ACTG1P20	1.65383840810359	0	0	0.478743654537372	0.413	0.999242597524675	0.785441247793786	0.00600000000000001	0.0305157253416763	43	FALSE	FALSE	TRUE
chr1	ACTG1P25	0.446786819904311	0.582	0.916874120167296	0.415258976707878	0.757	1	0.420372116231517	0.765	1	215	FALSE	FALSE	FALSE
chr1	ACTG1P4	0.31706921558354	0.774	1	0.319958406867468	0.794	1	0.0205329650320955	0.999	1	21	FALSE	FALSE	FALSE
chr1	ACTL8	0.562337111744605	0	0	0.293429213161411	1	1	0.243847189691358	1	1	1041	FALSE	FALSE	TRUE
chr1	ACTN2	0.496778095709146	0.072	0.132184022824536	0.32035918422583	1	1	0.379108520037704	1	1	941	FALSE	FALSE	FALSE
chr1	ACTRT2	0.204634584501993	0.967	1	0.0885149682084611	0.999	1	0.00217199394719599	1	1	26	FALSE	FALSE	FALSE
chr1	ADAM15	0.819182553067018	0	0	0.323187227109206	0.995	1	0.241151411008048	1	1	201	FALSE	FALSE	TRUE
chr1	ADAM30	0.593864803380568	0.101	0.182091232780761	0.402429175509431	0.688	1	0.604737033912627	0.083	0.321175269356051	56	FALSE	FALSE	FALSE
chr1	ADAMTS4	1.11808683157544	0	0	0.606479680305676	0.001	0.00505846708155913	0.557457480257859	0.027	0.119118554492216	270	FALSE	FALSE	TRUE
chr1	ADAMTSL4	1.89120447339701	0	0	0.593566900029887	0.011	0.0465867269984917	0.40869673794727	0.816	1	193	FALSE	FALSE	TRUE
chr1	ADAMTSL4-AS1	1.77018469677106	0	0	1.3989412897533	0	0	1.42952424776108	0	0	248	FALSE	FALSE	TRUE
chr1	ADAR	1.12086607318732	0	0	0.617503871877218	0	0	0.701435589861823	0	0	803	FALSE	FALSE	TRUE
chr1	ADCY10	0.534354637209122	0	0	0.504912689367521	0.00700000000000001	0.0310957859916583	0.507637460223168	0.011	0.0529216510903427	1563	FALSE	FALSE	FALSE
chr1	ADGRB2	1.05123850533425	0	0	0.388019326978299	0.993	1	0.195648116563957	1	1	675	FALSE	FALSE	TRUE
chr1	ADGRL2	0.56346858575737	0	0	0.36663767005878	1	1	0.439202595264444	0.99	1	9397	FALSE	FALSE	FALSE
chr1	ADGRL4	0.125566963138902	1	1	0.264203967652643	1	1	0.140889782543677	1	1	1243	FALSE	FALSE	FALSE
chr1	ADIPOR1	0.680075373333767	0	0	0.474364995986365	0.355	0.892687861271676	0.496950339676362	0.189	0.645614134041141	286	FALSE	FALSE	FALSE
chr1	ADORA1	0.891488424184879	0	0	0.400116449330303	0.973	1	0.363725497591923	1	1	691	FALSE	FALSE	TRUE
chr1	ADORA3	0.608922367180869	0.101	0.182091232780761	0.428815555142617	0.621	1	0.334781584863112	0.896	1	57	FALSE	FALSE	FALSE
chr1	ADPRS	0.876786822420664	0	0	0.327703321128315	0.954	1	0.186593615365002	1	1	92	FALSE	FALSE	TRUE
chr1	ADSS2	0.756945813789483	0	0	0.592310966047318	0	0	0.690607358984822	0	0	659	FALSE	FALSE	FALSE
chr1	AGBL4	0.230894190720679	1	1	0.280020917178243	1	1	0.234563021611526	1	1	15011	FALSE	FALSE	FALSE
chr1	AGBL4-AS1	0.210584515739084	1	1	0.423527625722535	0.713	1	0.34300141854647	0.984	1	194	FALSE	FALSE	FALSE
chr1	AGBL4-IT1	0.0819028311835697	1	1	0.262049026373401	1	1	0.176998187763076	1	1	1025	FALSE	FALSE	FALSE
chr1	AGL	0.394164308733352	0.997	1	0.37320440348216	0.999	1	0.330828970091556	1	1	1003	FALSE	FALSE	FALSE
chr1	AGMAT	0.944985793372461	0	0	0.652063727237917	0.002	0.00976818469323214	0.557339971927442	0.019	0.0869411851851853	256	FALSE	FALSE	TRUE
chr1	AGO1	0.597367576561947	0	0	0.434316320468859	0.81	1	0.385760458888347	0.998	1	952	FALSE	FALSE	FALSE
chr1	AGO3	0.573090141366621	0	0	0.476642455971177	0.162	0.484807092336014	0.521001388971361	0	0	1991	FALSE	FALSE	FALSE
chr1	AGO4	0.805350941987336	0	0	0.538841856752028	0.003	0.0142489620175304	0.703474461323389	0	0	837	FALSE	FALSE	FALSE
chr1	AGRN	1.84587757696202	0	0	0.570519623242734	0.003	0.0142489620175304	0.232142228608316	1	1	372	FALSE	FALSE	TRUE
chr1	AGT	0.649333745080832	0	0	0.500757119115483	0.0659999999999999	0.227617463153193	0.411718986733223	0.949	1	722	FALSE	FALSE	FALSE
chr1	AGTRAP	1.28598037705893	0	0	0.493178512688929	0.219	0.617289012593539	0.483162373484352	0.318	0.971712109220419	276	FALSE	FALSE	TRUE
chr1	AHCTF1	0.867926395237072	0	0	0.591042439667788	0	0	0.581883691967024	0	0	1342	FALSE	FALSE	TRUE
chr1	AHCYL1	0.803829815136877	0	0	0.465407750585608	0.408	0.990559346014778	0.512140124168849	0.055	0.223671494404213	596	FALSE	FALSE	TRUE
chr1	AHDC1	1.64517079271201	0	0	0.685862244038291	0	0	0.516219542170887	0.00600000000000001	0.0305157253416763	1217	FALSE	FALSE	TRUE
chr1	AIDA	0.693568692640328	0	0	0.514947034140481	0.043	0.156953557078705	0.495288543671339	0.113	0.418392591704627	626	FALSE	FALSE	FALSE
chr1	AIM2	0.279141659288991	1	1	0.364736580252192	0.963	1	0.469285117362383	0.373	1	232	FALSE	FALSE	FALSE
chr1	AJAP1	0.979583089508069	0	0	0.339583254637587	1	1	0.217538873951492	1	1	1355	FALSE	FALSE	TRUE
chr1	AK2	0.771656621500217	0	0	0.586119445130138	0	0	0.641677801095828	0	0	510	FALSE	FALSE	FALSE
chr1	AK4	0.917681967629231	0	0	0.510997885611292	0.00700000000000001	0.0310957859916583	0.57770501920091	0	0	1480	FALSE	FALSE	TRUE
chr1	AK5	0.450702370305284	0.713	1	0.376138915655297	1	1	0.377865309581516	1	1	4179	FALSE	FALSE	FALSE
chr1	AKIRIN1	1.17855970344476	0	0	0.839590530848182	0	0	0.947918068478702	0	0	253	FALSE	FALSE	TRUE
chr1	AKNAD1	0.821561238554879	0	0	0.474769136088617	0.306	0.802327843803056	0.431485449714945	0.808	1	688	FALSE	FALSE	TRUE
chr1	AKR1A1	0.944230998982036	0	0	0.635148558321511	0	0	0.734585260831356	0	0	343	FALSE	FALSE	TRUE
chr1	AKR7A2	0.902016517911221	0	0	0.420240680885368	0.704	1	0.288936146882483	0.996	1	170	FALSE	FALSE	TRUE
chr1	AKR7A2P1	1.10638360820329	0	0	0.331991276934709	0.809	1	0.31297678854319	0.815	1	27	FALSE	FALSE	TRUE
chr1	AKR7A3	1.04162913149908	0	0	0.572324938251098	0.052	0.184866942909761	0.374338745787719	0.889	1	117	FALSE	FALSE	TRUE
chr1	AKR7L	0.861421710293888	0	0	0.552855449788806	0.08	0.268349261511729	0.344347438765395	0.949	1	138	FALSE	FALSE	TRUE
chr1	AKT3	0.488334453422111	0.003	0.00617328447701533	0.360145691065252	1	1	0.365741201145475	1	1	5553	FALSE	FALSE	FALSE
chr1	ALDH4A1	0.950724186197244	0	0	0.341350784319959	1	1	0.414987409573492	0.908	1	572	FALSE	FALSE	TRUE
chr1	ALDH9A1	0.796076653559817	0	0	0.535086305068388	0.017	0.0688176933158585	0.698884213690844	0	0	574	FALSE	FALSE	FALSE
chr1	ALG14	0.812717252950235	0	0	0.576209152090401	0	0	0.560895934174773	0	0	1613	FALSE	FALSE	TRUE
chr1	ALG14-AS1	0.514592146490788	0.252	0.429388426104706	0.597701076126083	0.045	0.163346456692914	0.500361612504579	0.3	0.929677937192736	94	FALSE	FALSE	FALSE
chr1	ALG6	0.432886979854058	0.844	1	0.450717854483527	0.601	1	0.445851715768764	0.668	1	1009	FALSE	FALSE	FALSE
chr1	ALPL	1.01066907029076	0	0	0.527779264975935	0.003	0.0142489620175304	0.605924824114366	0	0	1286	FALSE	FALSE	TRUE
chr1	ALX3	1.15356400679647	0	0	0.338572242036523	0.987	1	0.143596187919765	1	1	182	FALSE	FALSE	TRUE
chr1	AMIGO1	1.50685558247193	0	0	0.408646794093446	0.711	1	0.306179623303462	0.974	1	90	FALSE	FALSE	TRUE
chr1	AMPD1	0.291550331018791	1	1	0.323811342955278	0.999	1	0.214962402499045	1	1	276	FALSE	FALSE	FALSE
chr1	AMPD2	1.66878263524679	0	0	0.516978521129947	0.125	0.391172745694022	0.445640316212462	0.582	1	214	FALSE	FALSE	TRUE
chr1	AMY2B	0.286947311477139	1	1	0.388805073472258	0.954	1	0.349897380049747	0.996	1	325	FALSE	FALSE	FALSE
chr1	ANGEL2	0.58670777162521	0.001	0.00211525818381044	0.455685984605994	0.519	1	0.457905037054826	0.488	1	357	FALSE	FALSE	FALSE
chr1	ANGPTL1	0.877367072645614	0	0	0.574132574409368	0.00900000000000001	0.0389495586380833	0.504530020783607	0.143	0.511919448307835	277	FALSE	FALSE	TRUE
chr1	ANGPTL3	0.323574391096083	0.939	1	0.328788631790416	0.94	1	0.505175479536516	0.274	0.865518306402127	89	FALSE	FALSE	FALSE
chr1	ANGPTL7	0.95410950328417	0	0	0.24434155415514	1	1	0.20699121535609	1	1	115	FALSE	FALSE	TRUE
chr1	ANKRD13C	0.663597593112617	0	0	0.52747659408593	0	0	0.513912878371222	0.003	0.0160813953488372	1539	FALSE	FALSE	FALSE
chr1	ANKRD34A	0.569110470141429	0.113	0.202390895911858	0.499965188663162	0.309	0.808135732430144	0.261080825583738	0.99	1	77	FALSE	FALSE	FALSE
chr1	ANKRD35	0.853581066052508	0	0	0.505946969895437	0.116	0.368155774763666	0.448749815579652	0.559	1	321	FALSE	FALSE	TRUE
chr1	ANKRD36BP1	1.25640148624614	0	0	0.447808268637742	0.533	1	0.531254727570973	0.312	0.957736434108527	32	FALSE	FALSE	TRUE
chr1	ANKRD45	0.228517402814586	1	1	0.288965495129865	1	1	0.286593718735965	1	1	696	FALSE	FALSE	FALSE
chr1	ANKRD65	1.57534114447404	0	0	0.494107014495321	0.358	0.898257189277011	0.293830479558891	0.953	1	56	FALSE	FALSE	TRUE
chr1	ANP32E	0.635716786481425	0	0	0.537460432938619	0.035	0.130671461380394	0.664707112198979	0	0	302	FALSE	FALSE	FALSE
chr1	ANXA9	0.551585784730405	0.034	0.0644941349874102	0.417594153339287	0.783	1	0.425859850453423	0.739	1	236	FALSE	FALSE	FALSE
chr1	AP4B1	0.52066078237317	0.132	0.23451734253667	0.484823479340659	0.329	0.845972610722611	0.476685121532095	0.388	1	166	FALSE	FALSE	FALSE
chr1	AP4B1-AS1	0.451906892370243	0.602	0.942325866612609	0.564223210814972	0	0	0.542234310845291	0	0	1402	FALSE	FALSE	FALSE
chr1	APCS	-0.309006060995492	1	1	0.043914153097948	0.802	1	0.32847928541631	0.54	1	3	FALSE	FALSE	FALSE
chr1	APH1A	0.764419600828867	0.004	0.00816414458468249	0.356721286737448	0.82	1	0.229518128013258	0.988	1	54	FALSE	FALSE	TRUE
chr1	APOA2	0.609399120123378	0.166	0.291370233562539	0.377145590572867	0.667	1	0.327911944519032	0.799	1	28	FALSE	FALSE	FALSE
chr1	APOBEC4	0.456434300202097	0.502	0.805259620877694	0.377193046441952	0.826	1	0.473298048728023	0.408	1	97	FALSE	FALSE	FALSE
chr1	AQP10	0.510866790703662	0.288	0.485109668975296	0.308650332924066	0.932	1	0.430646765595174	0.596	1	64	FALSE	FALSE	FALSE
chr1	ARF1	2.41012521661884	0	0	1.49325788711089	0	0	1.23950622865892	0	0	306	FALSE	FALSE	TRUE
chr1	ARHGAP29	0.572976521817867	0	0	0.391189380208221	0.992	1	0.555712484388908	0	0	863	FALSE	FALSE	FALSE
chr1	ARHGAP30	0.848580464338329	0	0	0.622710474536452	0	0	0.660982565520641	0	0	371	FALSE	FALSE	FALSE
chr1	ARHGEF10L	1.56222066439958	0	0	0.654423918425905	0	0	0.585414960653725	0	0	2963	FALSE	FALSE	TRUE
chr1	ARHGEF11	0.836545522567266	0	0	0.481379405227256	0.098	0.319498205615368	0.448154562093683	0.685	1	1789	FALSE	FALSE	TRUE
chr1	ARHGEF16	1.26231424135762	0	0	0.537397403793911	0.028	0.10751317752362	0.3358284481774	1	1	402	FALSE	FALSE	TRUE
chr1	ARHGEF19	1.26937952786017	0	0	0.511945964942901	0.143	0.43683522895856	0.381869916614159	0.924	1	255	FALSE	FALSE	TRUE
