chr	start	end	geneID	geneSymbol	symbol	NCMeanCnt	NCCountValid	NCadjPval	enrichSig	SigPeakValue	ovSig
chr10	84326588	84329087	NM_001351290	CCSER2	promoter_10320	2.49032538625303	9	0	TRUE		
chr10	84326588	84329087	NM_018999	CCSER2	promoter_10321	2.49032538625303	9	0	TRUE		
chr10	84326588	84329087	NM_001284240	CCSER2	promoter_10322	2.49032538625303	9	0	TRUE		
chr10	84326588	84329087	NM_001284241	CCSER2	promoter_10323	2.49032538625303	9	0	TRUE		
chr1	24411486	24413985	NM_001322854	NIPAL3	promoter_1033	1.6885699263991	7	0.00351257171785353	TRUE	4.21545984427635	TRUE
chr10	86664787	86667286	NM_001368068	LDB3	promoter_10338	2.63153644863548	8	0	TRUE		
chr10	86664787	86667286	NM_001368064	LDB3	promoter_10339	2.63153644863548	8	0	TRUE		
chr1	24413749	24416248	NM_001322858	NIPAL3	promoter_1034	2.81606606749873	16	0	TRUE		
chr10	86664787	86667286	NM_001368063	LDB3	promoter_10340	2.63153644863548	8	0	TRUE		
chr1	24413749	24416248	NM_001322868	NIPAL3	promoter_1035	2.81606606749873	16	0	TRUE		
chr10	86754618	86757117	NM_004329	BMPR1A	promoter_10350	1.89262283855353	8	0.00351257171785353	TRUE		
chr10	86966481	86968980	NM_006829	ADIRF	promoter_10354	2.67829487247221	13	0	TRUE		
chr10	87094344	87096843	NM_005271	GLUD1	promoter_10357	2.40197045701857	8	0.00968425541813671	TRUE	4.84182906012275	TRUE
chr10	87094344	87096843	NM_001318905	GLUD1	promoter_10358	2.40197045701857	8	0.00667457613531605	TRUE	4.84182906012275	TRUE
chr10	87093588	87096087	NM_001318901	GLUD1	promoter_10359					4.84182906012275	TRUE
chr1	24413749	24416248	NM_001322866	NIPAL3	promoter_1036	2.81606606749873	16	0	TRUE		
chr10	87093588	87096087	NM_001318900	GLUD1	promoter_10360					4.84182906012275	TRUE
chr10	87094344	87096843	NM_001318906	GLUD1	promoter_10361	2.40197045701857	8	0.00351257171785353	TRUE	4.84182906012275	TRUE
chr10	87093588	87096087	NM_001318902	GLUD1	promoter_10362					4.84182906012275	TRUE
chr10	87094344	87096843	NM_001318904	GLUD1	promoter_10363	2.40197045701857	8	0	TRUE	4.84182906012275	TRUE
chr1	24413749	24416248	NM_001322864	NIPAL3	promoter_1037	2.81606606749873	16	0	TRUE		
chr1	24413749	24416248	NM_001322863	NIPAL3	promoter_1038	2.81606606749873	16	0	TRUE		
chr10	87342059	87344558	NR_024397	NUTM2A-AS1	promoter_10385					4.83200212780656	TRUE
chr1	24413749	24416248	NM_001322862	NIPAL3	promoter_1039	2.81606606749873	16	0	TRUE		
chr10	87657877	87660376	NM_004670	PAPSS2	promoter_10395	2.93597142783097	12	0	TRUE	4.83517415213279	TRUE
chr10	87657877	87660376	NM_001015880	PAPSS2	promoter_10396	2.93597142783097	12	0	TRUE	4.83517415213279	TRUE
chr1	24413749	24416248	NR_136507	NIPAL3	promoter_1040	2.81606606749873	16	0	TRUE		
chr10	87861624	87864123	NM_001304718	PTEN	promoter_10404					4.62677417711281	TRUE
chr10	87861624	87864123	NM_000314	PTEN	promoter_10405					4.62677417711281	TRUE
chr10	87861624	87864123	NM_001304717	PTEN	promoter_10406					4.62677417711281	TRUE
chr1	24413749	24416248	NR_136506	NIPAL3	promoter_1041	2.81606606749873	16	0	TRUE		
chr1	24413749	24416248	NM_001330409	NIPAL3	promoter_1042	2.81606606749873	16	0	TRUE		
chr10	88952274	88954773	NM_001613	ACTA2	promoter_10421					4.331705063753	TRUE
chr1	24413749	24416248	NM_001322861	NIPAL3	promoter_1043	2.81606606749873	16	0	TRUE		
chr10	89206818	89209317	NM_003956	CH25H	promoter_10438	2.0488964022072	7	0	TRUE	4.7907308738898	TRUE
chr1	24413749	24416248	NM_001322860	NIPAL3	promoter_1044	2.81606606749873	16	0	TRUE		
chr1	24413749	24416248	NM_001322859	NIPAL3	promoter_1045	2.81606606749873	16	0	TRUE		
chr10	89535095	89537594	NM_213606	SLC16A12	promoter_10454	1.89712319247143	8	0	TRUE		
chr1	24413749	24416248	NR_136508	NIPAL3	promoter_1046	2.81606606749873	16	0	TRUE		
chr1	24413749	24416248	NM_001322856	NIPAL3	promoter_1047	2.81606606749873	16	0	TRUE		
chr1	24413749	24416248	NM_001322855	NIPAL3	promoter_1048	2.81606606749873	16	0	TRUE		
chr10	91161011	91163510	NR_046435	PCGF5	promoter_10481					5.22811971849833	TRUE
chr10	91161011	91163510	NM_001257101	PCGF5	promoter_10482					5.22811971849833	TRUE
chr10	91218150	91220649	NM_001256549	PCGF5	promoter_10483	2.15307864429447	8	0	TRUE		
chr10	91218601	91221100	NR_046310	PCGF5	promoter_10484	2.1106508020704	7	0.00667457613531605	TRUE		
chr10	91218662	91221161	NM_032373	PCGF5	promoter_10485	2.10925394066305	7	0.00968425541813671	TRUE		
chr1	24413801	24416300	NM_020448	NIPAL3	promoter_1049	2.94593680901444	16	0	TRUE		
chr1	24413801	24416300	NM_001322865	NIPAL3	promoter_1050	2.94593680901444	16	0	TRUE		
chr1	24414024	24416523	NM_001322857	NIPAL3	promoter_1051	2.92197914905275	15	0	TRUE		
chr10	92573007	92575506	NM_001322796	IDE	promoter_10518					5.01906684469971	TRUE
chr1	24501883	24504382	NR_045407	RCAN3AS	promoter_1052	2.26862331215764	6	0	TRUE	4.73909597918364	TRUE
chr10	92591129	92593628	NM_004523	KIF11	promoter_10525	2.24681697479676	8	0	TRUE	5.68870197054973	TRUE
chr10	92824830	92827329	NM_001013848	EXOC6	promoter_10527	1.71696308845537	6	0	TRUE		
chr1	24501883	24504382	NR_045408	RCAN3AS	promoter_1053	2.26862331215764	6	0	TRUE	4.73909597918364	TRUE
chr1	24501883	24504382	NR_045409	RCAN3AS	promoter_1054	2.26862331215764	6	0	TRUE	4.73909597918364	TRUE
chr1	24501883	24504382	NR_144360	RCAN3AS	promoter_1055	2.26862331215764	6	0	TRUE	4.73909597918364	TRUE
chr10	93755808	93758307	NM_001308276	LGI1	promoter_10551	1.97387847988567	6	0	TRUE	4.56476903901752	TRUE
chr10	93755808	93758307	NM_001308275	LGI1	promoter_10552	1.97387847988567	6	0	TRUE	4.56476903901752	TRUE
chr10	93755808	93758307	NR_131777	LGI1	promoter_10553	1.97387847988567	6	0	TRUE	4.56476903901752	TRUE
chr10	93755935	93758434	NM_005097	LGI1	promoter_10554	2.07067193519215	6	0	TRUE	4.56476903901752	TRUE
chr1	24500343	24502842	NM_001251979	RCAN3	promoter_1056	2.33500859753132	9	0	TRUE	4.73909597918364	TRUE
chr10	93991930	93994429	NM_001288989	PLCE1	promoter_10562	2.27861366867448	5	0	TRUE	5.26303336026658	TRUE
chr10	93991930	93994429	NM_016341	PLCE1	promoter_10563	2.27861366867448	5	0.00351257171785353	TRUE	5.26303336026658	TRUE
chr10	94400540	94403039	NM_015188	TBC1D12	promoter_10569	1.98845326159581	7	0	TRUE		
chr1	24500350	24502849	NM_001251984	RCAN3	promoter_1057	2.33500859753132	9	0	TRUE	4.73909597918364	TRUE
chr1	24500835	24503334	NM_001251977	RCAN3	promoter_1058	1.86176086682548	6	0	TRUE	4.73909597918364	TRUE
chr10	95290504	95293003	NM_020992	PDLIM1	promoter_10589	2.98766135698148	12	0	TRUE	5.89345162950843	TRUE
chr1	24500835	24503334	NM_013441	RCAN3	promoter_1059	1.86176086682548	6	0	TRUE	4.73909597918364	TRUE
chr10	95440681	95443180	NM_001034955	SORBS1	promoter_10593	2.43512537168587	8	0	TRUE		
chr1	24500896	24503395	NM_001251983	RCAN3	promoter_1060	1.8746275096887	6	0	TRUE	4.73909597918364	TRUE
chr1	24500896	24503395	NM_001251981	RCAN3	promoter_1061	1.8746275096887	6	0.00351257171785353	TRUE	4.73909597918364	TRUE
chr10	95440681	95443180	NM_001034956	SORBS1	promoter_10615	2.43512537168587	8	0	TRUE		
chr10	95440681	95443180	NM_001290296	SORBS1	promoter_10618	2.43512537168587	8	0	TRUE		
chr10	95440681	95443180	NM_001034954	SORBS1	promoter_10627	2.43512537168587	8	0	TRUE		
chr10	95693644	95696143	NM_001143973	TCTN3	promoter_10644					4.57379318340315	TRUE
chr10	95693428	95695927	NM_015631	TCTN3	promoter_10645					4.57379318340315	TRUE
chr10	95753651	95756150	NM_001312654	ENTPD1	promoter_10648					3.99925438922166	TRUE
chr10	95753651	95756150	NM_001164181	ENTPD1	promoter_10649	1.67608229090683	5	0	TRUE	3.99925438922166	TRUE
chr10	95753651	95756150	NM_001164178	ENTPD1	promoter_10650	1.67608229090683	5	0	TRUE	3.99925438922166	TRUE
chr10	95753651	95756150	NM_001320916	ENTPD1	promoter_10651	1.67608229090683	5	0.00968425541813671	TRUE	3.99925438922166	TRUE
chr10	95754162	95756661	NM_001164183	ENTPD1	promoter_10652	1.73288576944389	5	0.00667457613531605	TRUE	3.99925438922166	TRUE
chr10	95754162	95756661	NM_001164179	ENTPD1	promoter_10653	1.73288576944389	5	0	TRUE	3.99925438922166	TRUE
chr10	95754162	95756661	NM_001776	ENTPD1	promoter_10654	1.73288576944389	5	0	TRUE	3.99925438922166	TRUE
chr10	95754162	95756661	NM_001164182	ENTPD1	promoter_10655	1.73288576944389	5	0	TRUE	3.99925438922166	TRUE
chr10	96271070	96273569	NM_013314	BLNK	promoter_10679	2.21257441470939	6	0	TRUE	4.71321395438303	TRUE
chr1	24641301	24643800	NM_001366600	SRRM1	promoter_1068	2.65304459444377	8	0	TRUE		
chr10	96271017	96273516	NR_047680	BLNK	promoter_10680	2.29436154722115	6	0	TRUE	4.71321395438303	TRUE
chr10	96271017	96273516	NR_047681	BLNK	promoter_10681	2.29436154722115	6	0	TRUE	4.71321395438303	TRUE
chr10	96271017	96273516	NR_047682	BLNK	promoter_10682	2.29436154722115	6	0	TRUE	4.71321395438303	TRUE
chr10	96271017	96273516	NR_047683	BLNK	promoter_10683	2.29436154722115	6	0	TRUE	4.71321395438303	TRUE
chr10	96271077	96273576	NM_001114094	BLNK	promoter_10684	2.21257441470939	6	0	TRUE	4.71321395438303	TRUE
chr10	96271017	96273516	NM_001258442	BLNK	promoter_10685	2.29436154722115	6	0	TRUE	4.71321395438303	TRUE
chr10	96271017	96273516	NM_001258441	BLNK	promoter_10686	2.29436154722115	6	0	TRUE	4.71321395438303	TRUE
chr10	96271017	96273516	NM_001258440	BLNK	promoter_10687	2.29436154722115	6	0	TRUE	4.71321395438303	TRUE
chr1	24641301	24643800	NM_001303448	SRRM1	promoter_1069	2.65304459444377	8	0	TRUE		
chr1	24641301	24643800	NM_001366565	SRRM1	promoter_1070	2.65304459444377	8	0	TRUE		
chr10	96830297	96832796	NM_001346516	LCOR	promoter_10708					3.95737821691067	TRUE
chr10	96830297	96832796	NM_001170766	LCOR	promoter_10709					3.95737821691067	TRUE
chr1	24641301	24643800	NM_001366584	SRRM1	promoter_1071	2.65304459444377	8	0	TRUE		
chr10	96830297	96832796	NM_001170765	LCOR	promoter_10710					3.95737821691067	TRUE
chr10	96830944	96833443	NM_032440	LCOR	promoter_10711					3.95737821691067	TRUE
chr10	97317270	97319769	NM_005479	FRAT1	promoter_10718	2.9444443252685	13	0	TRUE		
chr1	24641301	24643800	NM_001366572	SRRM1	promoter_1072	2.65304459444377	8	0	TRUE		
chr10	97400841	97403340	NM_001284337	RRP12	promoter_10720					4.32936768463786	TRUE
chr10	97400871	97403370	NM_001145114	RRP12	promoter_10721					4.32936768463786	TRUE
chr10	97400841	97403340	NM_015179	RRP12	promoter_10722					4.32936768463786	TRUE
chr10	97425558	97428057	NR_157582	LOC644215	promoter_10723					4.42045576156339	TRUE
chr10	97424190	97426689	NM_002629	PGAM1	promoter_10724	2.13757496648622	8	0	TRUE	4.42045576156339	TRUE
chr10	97445518	97448017	NM_001318365	EXOSC1	promoter_10726	2.62106465461397	10	0	TRUE	4.80814462560453	TRUE
chr10	97445518	97448017	NM_001318362	EXOSC1	promoter_10727	2.62106465461397	10	0	TRUE	4.80814462560453	TRUE
chr10	97445518	97448017	NM_001318366	EXOSC1	promoter_10728	2.62106465461397	10	0	TRUE	4.80814462560453	TRUE
chr10	97445507	97448006	NM_016046	EXOSC1	promoter_10729	2.62106465461397	10	0	TRUE	4.80814462560453	TRUE
chr1	24641301	24643800	NM_001366591	SRRM1	promoter_1073	2.65304459444377	8	0	TRUE		
chr10	97445518	97448017	NM_001318364	EXOSC1	promoter_10730	2.62106465461397	10	0	TRUE	4.80814462560453	TRUE
chr10	97445518	97448017	NM_001318363	EXOSC1	promoter_10731	2.62106465461397	10	0	TRUE	4.80814462560453	TRUE
chr10	97445507	97448006	NR_134587	EXOSC1	promoter_10732	2.62106465461397	10	0	TRUE	4.80814462560453	TRUE
chr10	97445518	97448017	NR_134586	EXOSC1	promoter_10733	2.62106465461397	10	0	TRUE	4.80814462560453	TRUE
chr1	24641301	24643800	NM_001366566	SRRM1	promoter_1074	2.65304459444377	8	0	TRUE		
chr10	97444174	97446673	NM_198046	ZDHHC16	promoter_10741					4.80814462560453	TRUE
chr1	24641301	24643800	NM_001366589	SRRM1	promoter_1075	2.65304459444377	8	0	TRUE		
chr1	24641301	24643800	NM_001366588	SRRM1	promoter_1076	2.65304459444377	8	0	TRUE		
chr10	97633657	97636156	NM_001098831	MORN4	promoter_10760					3.76703274764992	TRUE
chr10	97633001	97635500	NM_178832	MORN4	promoter_10761					3.76703274764992	TRUE
chr10	97686742	97689241	NM_021732	AVPI1	promoter_10763	2.50513556386862	8	0	TRUE	4.4706895190027	TRUE
chr10	97711729	97714228	NM_031484	MARVELD1	promoter_10764	2.59817263348469	9	0	TRUE	5.4963538240518	TRUE
chr10	97735120	97737619	NM_001174122	ZFYVE27	promoter_10765	2.17799486732504	5	0	TRUE	4.21005968743156	TRUE
chr10	97735120	97737619	NM_001174121	ZFYVE27	promoter_10766	2.17799486732504	5	0	TRUE	4.21005968743156	TRUE
chr10	97735120	97737619	NM_001174120	ZFYVE27	promoter_10767	2.17799486732504	5	0	TRUE	4.21005968743156	TRUE
chr10	97735120	97737619	NM_001174119	ZFYVE27	promoter_10768	2.17799486732504	5	0	TRUE	4.21005968743156	TRUE
chr10	97735127	97737626	NM_001002262	ZFYVE27	promoter_10769	2.17799486732504	5	0	TRUE	4.21005968743156	TRUE
chr1	24641301	24643800	NM_001366575	SRRM1	promoter_1077	2.65304459444377	8	0	TRUE		
chr10	97735127	97737626	NM_144588	ZFYVE27	promoter_10770	2.17799486732504	5	0	TRUE	4.21005968743156	TRUE
chr10	97736476	97738975	NM_001002261	ZFYVE27	promoter_10771	2.71909060300923	9	0	TRUE	4.21005968743156	TRUE
chr10	98132623	98135122	NM_001256620	R3HCC1L	promoter_10778					4.0473336330227	TRUE
chr10	98132656	98135155	NM_001351013	R3HCC1L	promoter_10779					4.0473336330227	TRUE
chr1	24641301	24643800	NM_005839	SRRM1	promoter_1078	2.65304459444377	8	0	TRUE		
chr10	98132656	98135155	NM_001351014	R3HCC1L	promoter_10780					4.0473336330227	TRUE
chr10	98132656	98135155	NM_001351016	R3HCC1L	promoter_10781					4.0473336330227	TRUE
chr10	98132656	98135155	NM_014472	R3HCC1L	promoter_10782					4.0473336330227	TRUE
chr10	98132656	98135155	NM_001351011	R3HCC1L	promoter_10783					4.0473336330227	TRUE
chr10	98132656	98135155	NM_001351010	R3HCC1L	promoter_10784					4.0473336330227	TRUE
chr10	98132656	98135155	NM_001351017	R3HCC1L	promoter_10785					4.0473336330227	TRUE
chr10	98132656	98135155	NM_001351015	R3HCC1L	promoter_10786					4.0473336330227	TRUE
chr10	98132656	98135155	NM_001351012	R3HCC1L	promoter_10787					4.0473336330227	TRUE
chr10	98132656	98135155	NM_001256621	R3HCC1L	promoter_10788					4.0473336330227	TRUE
chr10	98132656	98135155	NM_001256619	R3HCC1L	promoter_10789					4.0473336330227	TRUE
chr1	24641301	24643800	NM_001366593	SRRM1	promoter_1079	2.65304459444377	8	0	TRUE		
