chr	start	end	geneID	geneSymbol	symbol	width	NCmeanCnt	NCsig	NCunique	TCmeanCnt	TCsig	TCunique	LTmeanCnt	LTsig	LTunique
chr1	1615499	1630605	NR_033183	MIB2	genebody_44969	15106	2.55709327493662	TRUE	TRUE	1.40656823962565			1.42931119139549		
chr1	1615499	1630605	NM_001170687	MIB2	genebody_60849	15106	2.55709327493662	TRUE	TRUE	1.40656823962565			1.42931119139549		
chr1	1635224	1659004	NM_001787	CDK11B	genebody_26641	23780	2.09973043539111	TRUE	TRUE	1.63827199228746			1.6126075491716		
chr1	1635224	1659004	NM_001291345	CDK11B	genebody_32896	23780	2.09973043539111	TRUE	TRUE	1.63827199228746			1.6126075491716		
chr1	1635224	1659004	NM_033489	CDK11B	genebody_56323	23780	2.09973043539111	TRUE	TRUE	1.63827199228746			1.6126075491716		
chr1	1635224	1659004	NM_033487	CDK11B	genebody_56324	23780	2.09973043539111	TRUE	TRUE	1.63827199228746			1.6126075491716		
chr1	1635224	1659004	NM_033486	CDK11B	genebody_56325	23780	2.09973043539111	TRUE	TRUE	1.63827199228746			1.6126075491716		
chr1	1635224	1659004	NM_033490	CDK11B	genebody_76838	23780	2.09973043539111	TRUE	TRUE	1.63827199228746			1.6126075491716		
chr1	1661477	1692795	NM_001110781	SLC35E2B	genebody_50130	31318	2.76826626129244	TRUE	TRUE	1.98504826223517			1.95935489095565	TRUE	
chr1	1724837	1745999	NM_001199787	SLC35E2A	genebody_26646	21162	2.55649588294774	TRUE	TRUE	1.81600042695643			2.00922544165307		
chr1	1751231	1758642	NM_001198995	NADK	genebody_71887	7411	2.51594147400984	TRUE	TRUE	1.63895714167317			1.85516263858496		
chr1	1785284	1891117	NM_001282538	GNB1	genebody_58085	105833	2.62415623211078	TRUE	TRUE	2.08973637956995			2.27278339622841	TRUE	
chr1	1785285	1891087	NM_002074	GNB1	genebody_40077	105802	2.62415623211078	TRUE	TRUE	2.08973637956995			2.27278339622841	TRUE	
chr1	1891179	1892726	NR_168263	LOC105378949	genebody_25794	1547	3.46452697906096	TRUE	TRUE	2.66980033613054			1.95163579265232		
chr1	2184459	2207733	NM_001146310	FAAP20	genebody_29572	23274	2.41315843668028	TRUE	TRUE	1.51912235517283			1.51362812474793		
chr1	2184476	2194772	NM_001256945	FAAP20	genebody_10218	10296	2.58292378720438	TRUE	TRUE	1.55729601381681			1.662671541466		
chr1	2189548	2212720	NM_001282670	FAAP20	genebody_55312	23172	2.50548499253645	TRUE	TRUE	1.56924099111221			1.50520323008653		
chr1	2189548	2194775	NR_046427	FAAP20	genebody_186	5227	2.67620244009475	TRUE	TRUE	1.68145388744961			1.78649298415042		
chr1	2189548	2194772	NM_182533	FAAP20	genebody_67654	5224	2.67620244009475	TRUE	TRUE	1.68145388744961			1.78649298415042		
chr1	2191900	2194772	NM_001256946	FAAP20	genebody_43027	2872	2.83155364761957	TRUE	TRUE	1.67481540102035			1.95991311999624		
chr1	2228318	2310213	NM_003036	SKI	genebody_67945	81895	3.47533528665784	TRUE	TRUE	2.34566679704256			2.35419880260276	TRUE	
chr1	2391840	2405436	NM_007033	RER1	genebody_19379	13596	2.67850909457953	TRUE	TRUE	1.5593541429398			1.94702333202374		
chr1	2403973	2413827	NM_001374426	PEX10	genebody_28346	9854	2.12339653102467	TRUE	TRUE	1.4063377268936			1.60946023975869		
chr1	3735983	3747373	NR_033710	TP73-AS1	genebody_80297	11390	2.60755649347241	TRUE	TRUE	1.48653007893279			1.84275105887795		
chr1	3735983	3746771	NR_033712	TP73-AS1	genebody_80294	10788	2.65389417979472	TRUE	TRUE	1.50087682345585			1.87249625525537		
chr1	3772748	3775956	NM_001288583	SMIM1	genebody_35074	3208	2.85624795421146	TRUE	TRUE	1.42066833840297			1.05016327947498		
chr1	3772748	3775956	NM_001379690	SMIM1	genebody_35075	3208	2.85624795421146	TRUE	TRUE	1.42066833840297			1.05016327947498		
chr1	3778558	3796498	NM_020710	LRRC47	genebody_70010	17940	2.23248538561094	TRUE	TRUE	1.42367401374033			1.71352590968842		
chr1	3889132	3900272	NM_207356	C1orf174	genebody_85202	11140	2.18209589238899	TRUE	TRUE	1.53648889735002			1.65174115909752		
chr1	6264271	6393767	NM_007274	ACOT7	genebody_45837	129496	2.05088808080459	TRUE	TRUE	1.49122772663736			1.39940463747977		
chr1	6264271	6385768	NM_181864	ACOT7	genebody_35456	121497	2.0668275432114	TRUE	TRUE	1.49257621404914			1.38817381180037		
chr1	6264271	6360714	NM_181865	ACOT7	genebody_35455	96443	2.13176072571665	TRUE	TRUE	1.47245169191952			1.32891142203827		
chr1	6264271	6358929	NM_181866	ACOT7	genebody_39910	94658	2.12907660219484	TRUE	TRUE	1.47530150505208			1.33551278638528		
chr1	6579993	6589280	NM_001278648	ZBTB48	genebody_9394	9287	2.04593049563751	TRUE	TRUE	1.37274710917659			1.60398275776251		
chr1	6579993	6589280	NM_001278647	ZBTB48	genebody_9395	9287	2.04593049563751	TRUE	TRUE	1.37274710917659			1.60398275776251		
chr1	6590723	6602869	NM_014851	KLHL21	genebody_54550	12146	2.51020347297051	TRUE	TRUE	1.5942802177709			1.75904184410804		
chr1	6613730	6624030	NM_153812	PHF13	genebody_63074	10300	2.5508146178896	TRUE	TRUE	1.63774660433264			1.93261133178306		
chr1	6625149	6633582	NM_001195752	THAP3	genebody_55724	8433	2.06621805091361	TRUE	TRUE	1.16144651976536			1.47958088538829		
chr1	8318113	8344165	NM_001379614	SLC45A1	genebody_47030	26052	2.23757630316405	TRUE	TRUE	1.47361696111425			1.46040585020546		
chr1	8352403	8817640	NM_001042681	RERE	genebody_19631	465237	2.03929182044065	TRUE	TRUE	1.62022360653733			1.75790504054341		
chr1	8352403	8817640	NM_012102	RERE	genebody_24850	465237	2.03929182044065	TRUE	TRUE	1.62022360653733			1.75790504054341		
chr1	8352403	8423832	NM_001042682	RERE	genebody_33379	71429	2.6343805056474	TRUE	TRUE	1.85304720896138			2.04663705664155	TRUE	
chr1	8424644	8435016	NR_125999	RERE-AS1	genebody_361	10372	2.3310272109474	TRUE	TRUE	1.63885349252468			1.7637796722253		
chr1	9234773	9271335	NM_004285	H6PD	genebody_69731	36562	2.38918310606188	TRUE	TRUE	1.58097462002117			1.85828776792461		
chr1	9239846	9271335	NM_001282587	H6PD	genebody_45899	31489	2.2805619468388	TRUE	TRUE	1.45653829340506			1.7582324851235		
chr1	9292893	9369531	NM_025106	SPSB1	genebody_10816	76638	3.28657373065088	TRUE	TRUE	2.12273471040237			2.37090465040353	TRUE	
chr1	9728925	9823965	NM_001009566	CLSTN1	genebody_5383	95040	2.13393791003794	TRUE	TRUE	1.71392413982736			1.70672266298723		
chr1	9729020	9824526	NM_001302883	CLSTN1	genebody_34644	95506	2.12845289321316	TRUE	TRUE	1.71227086867037			1.70311717095354		
chr1	9729020	9824526	NM_014944	CLSTN1	genebody_81235	95506	2.12845289321316	TRUE	TRUE	1.71227086867037			1.70311717095354		
chr1	10298965	10299070	NR_004394	RNU6-1	genebody_418	105	3.75260639395238	TRUE	TRUE	2.96600557653109			3.50532864344822	TRUE	
chr1	10298965	10299070	NR_104088	RNU6-8	genebody_421	105	3.75260639395238	TRUE	TRUE	2.96600557653109			3.50532864344822	TRUE	
chr1	10636605	10796646	NM_001079843	CASZ1	genebody_6558	160041	2.45759971846203	TRUE	TRUE	1.62601665461288			1.29324055145412		
chr1	10647210	10796646	NM_017766	CASZ1	genebody_76932	149436	2.4351404191528	TRUE	TRUE	1.63095133849346			1.2812150621295		
chr1	11099674	11102106	NR_135061	EXOSC10-AS1	genebody_444	2432	2.48063339468495	TRUE	TRUE	1.77985696353408			2.13297490291292		
chr1	11099674	11102106	NR_135062	EXOSC10-AS1	genebody_445	2432	2.48063339468495	TRUE	TRUE	1.77985696353408			2.13297490291292	TRUE	
chr1	11100018	11102106	NR_135063	EXOSC10-AS1	genebody_446	2088	2.48063339468495	TRUE	TRUE	1.77985696353408			2.13297490291292	TRUE	
chr1	11785725	11805964	NM_005957	MTHFR	genebody_86010	20239	2.2912589004157	TRUE	TRUE	1.50157655407943			1.64116675536459		
chr1	11785729	11803677	NM_001330358	MTHFR	genebody_55587	17948	2.39646038938724	TRUE	TRUE	1.52780182385766			1.70295960327726		
chr1	12567909	12618210	NM_004753	DHRS3	genebody_26509	50301	2.56006829829803	TRUE	TRUE	1.73455526054127			2.05244677362646		
chr1	12567909	12616789	NM_001319225	DHRS3	genebody_20744	48880	2.56634798801056	TRUE	TRUE	1.73608878308001			2.05571736089211	TRUE	
chr1	12567909	12596613	NM_001324370	DHRS3	genebody_31451	28704	2.47632238252591	TRUE	TRUE	1.66297540885359			2.0890357858234		
chr1	13700187	13825079	NM_001135610	PRDM2	genebody_62209	124892	1.99622680540309	TRUE	TRUE	1.59011806325213			1.68732896378899		
chr1	13704854	13825079	NM_012231	PRDM2	genebody_16372	120225	1.98750802740715	TRUE	TRUE	1.57987657646716			1.6756296498795		
chr1	13749414	13788081	NM_001007257	PRDM2	genebody_43978	38667	2.3151743641708	TRUE	TRUE	1.82373562349217			1.94315361157402	TRUE	
chr1	14924128	15068155	NM_001018000	KAZN	genebody_20067	144027	2.10333215176065	TRUE	TRUE	1.35166915256838			1.39204653738386		
chr1	14924128	15068155	NM_001370229	KAZN	genebody_23453	144027	2.10333215176065	TRUE	TRUE	1.35166915256838			1.39204653738386		
chr1	14929665	15068155	NM_001370231	KAZN	genebody_23451	138490	2.0952572182522	TRUE	TRUE	1.35474166934026			1.39688699842813		
chr1	14929799	15068155	NM_001018001	KAZN	genebody_11373	138356	2.09476332352019	TRUE	TRUE	1.35498221335771			1.39695429023544		
chr1	14945918	15068155	NM_001017999	KAZN	genebody_4983	122237	2.07876164328046	TRUE	TRUE	1.34505354004447			1.42259928838904		
chr1	15152531	15220478	NM_001136217	TMEM51	genebody_14086	67947	2.3812731055007	TRUE	TRUE	1.76016725627737			1.74742226579892		
chr1	15152565	15220478	NM_001136216	TMEM51	genebody_20069	67913	2.3812731055007	TRUE	TRUE	1.76016725627737			1.74742226579892		
chr1	15153746	15220478	NM_001136218	TMEM51	genebody_14085	66732	2.3855317384831	TRUE	TRUE	1.76139736668141			1.7493017410761		
chr1	15153746	15220478	NM_001319665	TMEM51	genebody_32573	66732	2.3855317384831	TRUE	TRUE	1.76139736668141			1.7493017410761		
chr1	15153746	15220478	NR_135082	TMEM51	genebody_79409	66732	2.3855317384831	TRUE	TRUE	1.76139736668141			1.7493017410761		
chr1	15326679	15343883	NR_148918	FHAD1-AS1	genebody_33066	17204	2.32941176098923	TRUE	TRUE	1.86768806678124			1.7654343972924		
chr1	15326679	15343883	NR_148919	FHAD1-AS1	genebody_44190	17204	2.32941176098923	TRUE	TRUE	1.86768806678124			1.7654343972924		
chr1	15409887	15430339	NM_024329	EFHD2	genebody_24596	20452	2.81160576628912	TRUE	TRUE	2.09321581292593			2.136320253245	TRUE	
chr1	15684319	15734769	NM_015164	PLEKHM2	genebody_86320	50450	2.15530572212688	TRUE	TRUE	1.43581313370091			1.74280480909104		
chr1	15740050	15749890	NR_149050	SLC25A34-AS1	genebody_547	9840	2.18329584053233	TRUE	TRUE	1.43807262489128			1.77518965561198		
chr1	15756637	15786589	NM_001350151	FBLIM1	genebody_27291	29952	1.92363453524871	TRUE	TRUE	1.54213721856508			1.641103891889		
chr1	15758794	15786589	NM_017556	FBLIM1	genebody_863	27795	1.91726641594125	TRUE	TRUE	1.5456241397282			1.65555155692194		
chr1	15941868	15976132	NM_001287603	ZBTB17	genebody_13509	34264	2.29983106541539	TRUE	TRUE	1.54176471228811			1.69496409958052		
chr1	15941868	15976132	NM_001287604	ZBTB17	genebody_26129	34264	2.29983106541539	TRUE	TRUE	1.54176471228811			1.69496409958052		
chr1	15941868	15976132	NM_001324138	ZBTB17	genebody_33453	34264	2.29983106541539	TRUE	TRUE	1.54176471228811			1.69496409958052		
chr1	15941868	15976101	NM_003443	ZBTB17	genebody_9353	34233	2.29983106541539	TRUE	TRUE	1.54176471228811			1.69496409958052		
chr1	16014028	16019594	NM_001349682	HSPB7	genebody_57623	5566	2.64415748769082	TRUE	TRUE	1.47222438124145			1.60010420044547		
chr1	16014028	16018043	NM_014424	HSPB7	genebody_57622	4015	2.68875041272455	TRUE	TRUE	1.52792241547834			1.60741591874447		
chr1	16014028	16018043	NM_001349687	HSPB7	genebody_73255	4015	2.68875041272455	TRUE	TRUE	1.52792241547834			1.60741591874447		
chr1	16124336	16156069	NM_001329090	EPHA2	genebody_8904	31733	2.44660642149156	TRUE	TRUE	1.71208870990491			1.70058546151784		
chr1	16124336	16156069	NM_004431	EPHA2	genebody_58063	31733	2.44660642149156	TRUE	TRUE	1.71208870990491			1.70058546151784		
chr1	16367241	16398145	NR_073503	SZRD1	genebody_56188	30904	2.50576070732095	TRUE	TRUE	1.84650951337429			2.13074284356637	TRUE	
chr1	16367241	16398145	NR_073502	SZRD1	genebody_61089	30904	2.50576070732095	TRUE	TRUE	1.84650951337429			2.13074284356637	TRUE	
chr1	16367241	16398145	NR_073500	SZRD1	genebody_66807	30904	2.50576070732095	TRUE	TRUE	1.84650951337429			2.13074284356637	TRUE	
chr1	16367241	16398145	NM_001114600	SZRD1	genebody_69313	30904	2.50576070732095	TRUE	TRUE	1.84650951337429			2.13074284356637	TRUE	
chr1	16974503	16981586	NM_001135247	MFAP2	genebody_61194	7083	2.29351124237622	TRUE	TRUE	1.39901294612945			1.18434147221401		
chr1	16974503	16980620	NM_002403	MFAP2	genebody_26209	6117	2.19731530507795	TRUE	TRUE	1.33657714614537			1.17665538218628		
chr1	17406759	17439677	NM_018715	RCC2	genebody_49006	32918	1.9473161219463	TRUE	TRUE	1.56702085548973			1.70861479771593		
chr1	17539697	17697869	NM_018125	ARHGEF10L	genebody_19822	158172	2.19308127388791	TRUE	TRUE	1.47595609988929			1.74084438779395		
chr1	17539697	17697869	NR_137288	ARHGEF10L	genebody_22780	158172	2.19308127388791	TRUE	TRUE	1.47595609988929			1.74084438779395		
chr1	17539697	17697869	NR_137287	ARHGEF10L	genebody_22781	158172	2.19308127388791	TRUE	TRUE	1.47595609988929			1.74084438779395		
chr1	17580552	17697875	NM_001011722	ARHGEF10L	genebody_16512	117323	2.11802843830433	TRUE	TRUE	1.393055030881			1.76226001701873		
chr1	17580552	17697875	NM_001319837	ARHGEF10L	genebody_56943	117323	2.11802843830433	TRUE	TRUE	1.393055030881			1.76226001701873		
chr1	17618312	17697875	NM_001319838	ARHGEF10L	genebody_18605	79563	2.10438273709608	TRUE	TRUE	1.34848460447731			1.79711421523261		
chr1	17618312	17697869	NM_001328124	ARHGEF10L	genebody_28689	79557	2.10438273709608	TRUE	TRUE	1.34848460447731			1.79711421523261		
chr1	18904279	18956676	NM_001136265	IFFO2	genebody_18279	52397	2.471084731882	TRUE	TRUE	1.56328841480875			1.67511020670048		
chr1	19312325	19332428	NR_109848	SLC66A1	genebody_80284	20103	2.17327436036689	TRUE	TRUE	1.3859993393318			1.49697585080133		
chr1	19338774	19485539	NM_004930	CAPZB	genebody_2394	146765	2.91384222250873	TRUE	TRUE	2.00794988701129			1.9378635545966		
chr1	19338774	19485539	NM_001206541	CAPZB	genebody_4052	146765	2.91384222250873	TRUE	TRUE	2.00794988701129			1.9378635545966		
chr1	19338774	19485539	NM_001206540	CAPZB	genebody_57001	146765	2.91384222250873	TRUE	TRUE	2.00794988701129			1.9378635545966		
chr1	19338774	19484295	NM_001282162	CAPZB	genebody_18122	145521	2.92772153813241	TRUE	TRUE	2.01467887591961			1.94488835376323		
chr1	19374174	19485539	NM_001313932	CAPZB	genebody_59890	111365	2.94084670242444	TRUE	TRUE	2.12112033122682			2.04954720355367	TRUE	
chr1	19596976	19629821	NM_001204082	MICOS10	genebody_73116	32845	2.11311142916347	TRUE	TRUE	1.61992068187903			1.53586600698708		
chr1	19596978	19658452	NM_001204088	MICOS10-NBL1	genebody_62965	61474	2.18779610693262	TRUE	TRUE	1.62497981409283			1.42103270947855		
chr1	19596978	19629820	NR_033758	MICOS10	genebody_24051	32842	2.11311142916347	TRUE	TRUE	1.61992068187903			1.53586600698708		
chr1	19596978	19629820	NR_033757	MICOS10	genebody_24052	32842	2.11311142916347	TRUE	TRUE	1.61992068187903			1.53586600698708		
chr1	19596978	19629820	NM_001204083	MICOS10	genebody_28543	32842	2.11311142916347	TRUE	TRUE	1.61992068187903			1.53586600698708		
chr1	19596978	19629820	NM_001032363	MICOS10	genebody_72704	32842	2.11311142916347	TRUE	TRUE	1.61992068187903			1.53586600698708		
chr1	19643228	19658456	NM_182744	NBL1	genebody_55015	15228	2.61051073867633	TRUE	TRUE	1.80366312924791			1.3268880731189		
chr1	19643228	19658456	NM_001278164	NBL1	genebody_59756	15228	2.61051073867633	TRUE	TRUE	1.80366312924791			1.3268880731189		
chr1	19643408	19658456	NM_001278165	NBL1	genebody_59755	15048	2.59524417459231	TRUE	TRUE	1.80709983636946			1.31713027984848		
chr1	19643713	19658456	NM_001204084	NBL1	genebody_28542	14743	2.60168568658108	TRUE	TRUE	1.82893386467969			1.33359188729476		
chr1	19644310	19658452	NM_005380	NBL1	genebody_47543	14142	2.63894656630255	TRUE	TRUE	1.8424795301347			1.33665074678057		
chr1	19645371	19658456	NM_001204085	NBL1	genebody_22614	13085	2.74522291985807	TRUE	TRUE	1.89526504680463			1.35536046365165		
chr1	19645765	19658456	NM_001204086	NBL1	genebody_22613	12691	2.80714139437557	TRUE	TRUE	1.92344027152626			1.33815448196376		
chr1	21217249	21345504	NM_001113348	ECE1	genebody_40474	128255	2.33736540076678	TRUE	TRUE	1.61841585755942			1.76341268421049		
chr1	21217249	21290463	NM_001397	ECE1	genebody_62659	73214	2.10517815031653	TRUE	TRUE	1.51831471043365			1.71264231702148		
chr1	21217249	21290215	NM_001113349	ECE1	genebody_28889	72966	2.11472776557689	TRUE	TRUE	1.52212425635222			1.71744640499373		
chr1	21812264	21825223	NM_001013693	LDLRAD2	genebody_36296	12959	2.22444329964981	TRUE	TRUE	1.51699460177233			1.30034888572697		
chr1	21822243	21937310	NM_005529	HSPG2	genebody_25995	115067	2.5916657404273	TRUE	TRUE	1.64655723709185			1.41470773720188		
chr1	21822243	21937310	NM_001291860	HSPG2	genebody_52333	115067	2.5916657404273	TRUE	TRUE	1.64655723709185			1.41470773720188		
chr1	22052708	22101360	NM_001039802	CDC42	genebody_25645	48652	2.4360709945801	TRUE	TRUE	2.04454577849244			2.17337344122127	TRUE	
chr1	22052708	22101360	NM_001791	CDC42	genebody_30264	48652	2.4360709945801	TRUE	TRUE	2.04454577849244			2.17337344122127	TRUE	
chr1	22052708	22090806	NM_044472	CDC42	genebody_76842	38098	2.62303833504697	TRUE	TRUE	2.2151587649742	TRUE		2.37906517891995	TRUE	
chr1	22117312	22143097	NM_030761	WNT4	genebody_76994	25785	2.38827074699464	TRUE	TRUE	1.38627954457963			1.395283901658		
chr1	22636627	22639678	NM_001347465	C1QA	genebody_46699	3051	1.97723044632292	TRUE	TRUE	1.29732832930429			1.05952503552443		
chr1	25543605	25568886	NM_015627	LDLRAP1	genebody_79189	25281	2.26082714566464	TRUE	TRUE	1.51177479646951			1.562957851111		
chr1	25616790	25784449	NM_001289010	MAN1C1	genebody_87883	167659	2.04643320142474	TRUE	TRUE	1.3700313739732			1.59454829914162		
chr1	25616790	25784449	NM_001385182	MAN1C1	genebody_87884	167659	2.04643320142474	TRUE	TRUE	1.3700313739732			1.59454829914162		
chr1	25616790	25784449	NM_001385183	MAN1C1	genebody_87885	167659	2.04643320142474	TRUE	TRUE	1.3700313739732			1.59454829914162		
chr1	25616790	25784449	NM_001385184	MAN1C1	genebody_87886	167659	2.04643320142474	TRUE	TRUE	1.3700313739732			1.59454829914162		
chr1	25616790	25784449	NM_020379	MAN1C1	genebody_87887	167659	2.04643320142474	TRUE	TRUE	1.3700313739732			1.59454829914162		
chr1	25800192	25818221	NM_206926	SELENON	genebody_58895	18029	2.20654543304525	TRUE	TRUE	1.31833907866599			1.46240764463312		
chr1	27404229	27490167	NM_001201404	WASF2	genebody_54666	85938	2.27754146582328	TRUE	TRUE	1.80950425963097			1.91178252965985	TRUE	
chr1	27404229	27490167	NM_006990	WASF2	genebody_78552	85938	2.27754146582328	TRUE	TRUE	1.80950425963097			1.91178252965985	TRUE	
chr1	27534244	27604144	NM_001371928	AHDC1	genebody_16492	69900	2.22931643923193	TRUE	TRUE	1.50986183719668			1.52181055349992		
chr1	27534244	27603494	NM_001029882	AHDC1	genebody_66440	69250	2.24093318003337	TRUE	TRUE	1.51574347133927			1.52710620054946		
chr1	28236123	28238100	NM_178190	ATP5IF1	genebody_8341	1977	1.80244169844461	TRUE	TRUE	1.39912697511157			1.46179623642344		
chr1	28236123	28238100	NM_016311	ATP5IF1	genebody_33733	1977	1.80244169844461	TRUE	TRUE	1.39912697511157			1.46179623642344		
chr1	29119424	29122501	NM_001171868	TMEM200B	genebody_8514	3077	2.40923467252554	TRUE	TRUE	1.3376031079675			1.62278042536598		
chr1	29119428	29123903	NM_001003682	TMEM200B	genebody_118	4475	2.03322408642673	TRUE	TRUE	1.2174544949298			1.38635950024778		
chr1	31576514	31587686	NM_022164	TINAGL1	genebody_5183	11172	2.01043660120514	TRUE	TRUE	1.40299151159113			1.25523902740097		
chr1	32679905	32702770	NM_001161708	SYNC	genebody_9689	22865	2.04486163185963	TRUE	TRUE	1.57237927051526			1.5173892053701		
chr1	32679905	32702770	NM_030786	SYNC	genebody_79384	22865	2.04486163185963	TRUE	TRUE	1.57237927051526			1.5173892053701		
chr1	33306765	33321098	NM_001080438	A3GALT2	genebody_27390	14333	2.05092231456886	TRUE	TRUE	1.42733120538121			1.55024986928838		
chr1	33323625	33392785	NM_001385120	PHC2	genebody_87677	69160	1.99284422770297	TRUE	TRUE	1.55011067685992			1.66732209865255		
chr1	33323625	33392785	NM_001385122	PHC2	genebody_87678	69160	1.99284422770297	TRUE	TRUE	1.55011067685992			1.66732209865255		
chr1	35557798	35566779	NM_014284	NCDN	genebody_17517	8981	2.24201145558699	TRUE	TRUE	1.34283694111053			1.48591655340816		
chr1	36095238	36125222	NM_005202	COL8A2	genebody_3773	29984	2.06015733671817	TRUE	TRUE	1.33552136695709			1.35242050886105		
chr1	36095238	36125222	NM_001294347	COL8A2	genebody_48574	29984	2.06015733671817	TRUE	TRUE	1.33552136695709			1.35242050886105		
chr1	36156159	36180849	NM_001286366	MAP7D1	genebody_63990	24690	2.2487316889776	TRUE	TRUE	1.64848086861653			1.46073762172911		
chr1	36156159	36180849	NM_001286365	MAP7D1	genebody_70124	24690	2.2487316889776	TRUE	TRUE	1.64848086861653			1.46073762172911		
chr1	36322029	36323645	NM_001304762	EVA1B	genebody_4714	1616	2.05229668661524	TRUE	TRUE	1.44436844001248			0.909506653121015		
chr1	37474579	37484377	NM_001323550	ZC3H12A	genebody_71800	9798	2.49918231922881	TRUE	TRUE	1.66700341385609			1.83169784841221	TRUE	
chr1	37996769	38005514	NM_004468	FHL3	genebody_56222	8745	1.93321201382756	TRUE	TRUE	1.56175880933219			1.49949143334276		
chr1	39769522	39771348	NM_022120	OXCT2	genebody_75633	1826	2.08314522454935	TRUE	TRUE	1.20952060870728			0.97967880614491		
chr1	40783786	40840452	NM_004700	KCNQ4	genebody_55063	56666	2.07785356764349	TRUE	TRUE	1.2156184424614			1.33794439186001		
chr1	40783786	40840452	NM_172163	KCNQ4	genebody_82965	56666	2.07785356764349	TRUE	TRUE	1.2156184424614			1.33794439186001		
chr1	41478774	41484683	NR_126098	EDN2	genebody_67066	5909	2.53749299409666	TRUE	TRUE	1.39344300829034			1.67607710000398		
chr1	43363400	43368011	NM_001256402	ELOVL1	genebody_43686	4611	1.96051728270493	TRUE	TRUE	1.44435932445293			1.47289935590439		
chr1	43451002	43453989	NM_001243526	HYI	genebody_50058	2987	3.19482721575588	TRUE	TRUE	1.92446710898155			2.14130833614629	TRUE	
chr1	43980504	43991171	NM_001005417	B4GALT2	genebody_12946	10667	2.23572984174462	TRUE	TRUE	1.5272742861535			1.68771983410956		
