chr	start	end	geneID	geneSymbol	symbol	NLMeanCnt	NLCountValid	NLadjPval	enrichSig	SigPeakValue	ovSig
chr10	80205309	80207808	NM_001278407	ANXA11	promoter_10259	2.35785352023445	10	0	TRUE	5.09519329114298	TRUE
chr10	80205038	80207537	NM_001278409	ANXA11	promoter_10260	2.54258310240868	10	0	TRUE	5.09519329114298	TRUE
chr10	80205038	80207537	NM_145868	ANXA11	promoter_10261	2.54258310240868	10	0	TRUE	5.09519329114298	TRUE
chr10	80203992	80206491	NM_001278408	ANXA11	promoter_10262	NA	NA	NA	NA	5.09519329114298	TRUE
chr10	80205709	80208208	NR_038464	LINC00857	promoter_10263	2.57550055082698	13	0	TRUE	5.09519329114298	TRUE
chr10	80356256	80358755	NM_001370157	DYDC1	promoter_10266	1.83609078465249	5	0	TRUE	NA	NA
chr10	80356256	80358755	NM_001370156	DYDC1	promoter_10267	1.83609078465249	5	0	TRUE	NA	NA
chr10	80356256	80358755	NM_001370155	DYDC1	promoter_10268	1.83609078465249	5	0	TRUE	NA	NA
chr10	80356256	80358755	NM_001269053	DYDC1	promoter_10269	1.83609078465249	5	0	TRUE	NA	NA
chr10	80356259	80358758	NM_138812	DYDC1	promoter_10270	1.83609078465249	5	0	TRUE	NA	NA
chr10	80354767	80357266	NM_001270041	DYDC2	promoter_10274	2.0260865706373	7	0	TRUE	NA	NA
chr10	80354780	80357279	NM_032372	DYDC2	promoter_10275	2.0260865706373	7	0	TRUE	NA	NA
chr1	24321039	24323538	NM_021180	GRHL3	promoter_1028	2.09668482494639	7	0	TRUE	4.44448751783678	TRUE
chr10	80411818	80414317	NM_001243778	PRXL2A	promoter_10280	2.29182213377454	7	0	TRUE	NA	NA
chr10	80411832	80414331	NM_001243782	PRXL2A	promoter_10281	2.29182213377454	7	0	TRUE	NA	NA
chr10	80452309	80454808	NM_001351267	TSPAN14	promoter_10282	2.10979438881597	5	0.00654755632446035	TRUE	NA	NA
chr10	80452309	80454808	NM_030927	TSPAN14	promoter_10283	2.10979438881597	5	0	TRUE	NA	NA
chr10	80452309	80454808	NM_001351266	TSPAN14	promoter_10284	2.10979438881597	5	0	TRUE	NA	NA
chr10	80452309	80454808	NM_001351268	TSPAN14	promoter_10285	2.10979438881597	5	0	TRUE	NA	NA
chr10	80452309	80454808	NM_001128309	TSPAN14	promoter_10286	2.10979438881597	5	0	TRUE	NA	NA
chr10	80466240	80468739	NM_001351271	TSPAN14	promoter_10289	2.15420783642673	5	0	TRUE	4.21603720722571	TRUE
chr1	24413273	24415772	NM_001199014	STPG1	promoter_1029	2.32424878552811	12	0	TRUE	NA	NA
chr10	80466240	80468739	NM_001351272	TSPAN14	promoter_10290	2.15420783642673	5	0	TRUE	4.21603720722571	TRUE
chr10	80538818	80541317	NM_001145719	SH2D4B	promoter_10293	1.98613966753628	5	0	TRUE	NA	NA
chr1	24413273	24415772	NM_178122	STPG1	promoter_1030	2.32424878552811	12	0	TRUE	NA	NA
chr10	84137508	84140007	NM_014394	GHITM	promoter_10307	NA	NA	NA	NA	4.84261383964552	TRUE
chr1	24413283	24415782	NM_001199013	STPG1	promoter_1031	2.32424878552811	12	0	TRUE	NA	NA
chr10	84326588	84329087	NM_001351292	CCSER2	promoter_10319	2.88770299618667	13	0	TRUE	NA	NA
chr1	24414598	24417097	NM_001199012	STPG1	promoter_1032	2.02486531646391	6	0	TRUE	NA	NA
chr10	84326588	84329087	NM_001351290	CCSER2	promoter_10320	2.88770299618667	13	0	TRUE	NA	NA
chr10	84326588	84329087	NM_018999	CCSER2	promoter_10321	2.88770299618667	13	0	TRUE	NA	NA
chr10	84326588	84329087	NM_001284240	CCSER2	promoter_10322	2.88770299618667	13	0	TRUE	NA	NA
chr10	84326588	84329087	NM_001284241	CCSER2	promoter_10323	2.88770299618667	13	0	TRUE	NA	NA
chr10	86521285	86523784	NM_001318328	WAPL	promoter_10334	NA	NA	NA	NA	4.15579586854946	TRUE
chr10	86521293	86523792	NM_015045	WAPL	promoter_10335	1.87901246155755	5	0.00346708307307933	TRUE	4.15579586854946	TRUE
chr1	24413749	24416248	NM_001322858	NIPAL3	promoter_1034	2.55597714574054	12	0	TRUE	NA	NA
chr1	24413749	24416248	NM_001322868	NIPAL3	promoter_1035	2.55597714574054	12	0	TRUE	NA	NA
chr10	86754618	86757117	NM_004329	BMPR1A	promoter_10350	2.02568434330087	6	0.00654755632446035	TRUE	NA	NA
chr10	87094344	87096843	NM_005271	GLUD1	promoter_10357	2.82491899879983	10	0	TRUE	5.49515815469983	TRUE
chr10	87094344	87096843	NM_001318905	GLUD1	promoter_10358	2.82491899879983	10	0	TRUE	5.49515815469983	TRUE
chr10	87093588	87096087	NM_001318901	GLUD1	promoter_10359	NA	NA	NA	NA	5.49515815469983	TRUE
chr1	24413749	24416248	NM_001322866	NIPAL3	promoter_1036	2.55597714574054	12	0	TRUE	NA	NA
chr10	87093588	87096087	NM_001318900	GLUD1	promoter_10360	NA	NA	NA	NA	5.49515815469983	TRUE
chr10	87094344	87096843	NM_001318906	GLUD1	promoter_10361	2.82491899879983	10	0	TRUE	5.49515815469983	TRUE
chr10	87093588	87096087	NM_001318902	GLUD1	promoter_10362	NA	NA	NA	NA	5.49515815469983	TRUE
chr10	87094344	87096843	NM_001318904	GLUD1	promoter_10363	2.82491899879983	10	0	TRUE	5.49515815469983	TRUE
chr1	24413749	24416248	NM_001322864	NIPAL3	promoter_1037	2.55597714574054	12	0	TRUE	NA	NA
chr1	24413749	24416248	NM_001322863	NIPAL3	promoter_1038	2.55597714574054	12	0	TRUE	NA	NA
chr10	87342059	87344558	NR_024397	NUTM2A-AS1	promoter_10385	2.76202145900685	8	0.00346708307307933	TRUE	5.13268323245942	TRUE
chr1	24413749	24416248	NM_001322862	NIPAL3	promoter_1039	2.55597714574054	12	0	TRUE	NA	NA
chr10	87407201	87409700	NR_046091	FAM245A	promoter_10390	2.22627766862781	5	0	TRUE	NA	NA
chr10	87657877	87660376	NM_004670	PAPSS2	promoter_10395	2.63055796263886	10	0	TRUE	5.4579329157667	TRUE
chr10	87657877	87660376	NM_001015880	PAPSS2	promoter_10396	2.63055796263886	10	0	TRUE	5.4579329157667	TRUE
chr1	24413749	24416248	NR_136507	NIPAL3	promoter_1040	2.55597714574054	12	0	TRUE	NA	NA
chr10	88582826	88585325	NM_018363	RNLS	promoter_10407	2.02984785549843	7	0	TRUE	NA	NA
chr10	88582819	88585318	NM_001031709	RNLS	promoter_10408	2.02984785549843	7	0	TRUE	NA	NA
chr1	24413749	24416248	NR_136506	NIPAL3	promoter_1041	2.55597714574054	12	0	TRUE	NA	NA
chr1	24413749	24416248	NM_001330409	NIPAL3	promoter_1042	2.55597714574054	12	0	TRUE	NA	NA
chr1	24413749	24416248	NM_001322861	NIPAL3	promoter_1043	2.55597714574054	12	0	TRUE	NA	NA
chr1	24413749	24416248	NM_001322860	NIPAL3	promoter_1044	2.55597714574054	12	0	TRUE	NA	NA
chr1	24413749	24416248	NM_001322859	NIPAL3	promoter_1045	2.55597714574054	12	0	TRUE	NA	NA
chr10	89412567	89415066	NM_012420	IFIT5	promoter_10453	2.68623084583625	8	0.00346708307307933	TRUE	NA	NA
chr10	89535095	89537594	NM_213606	SLC16A12	promoter_10454	2.33991194483074	10	0	TRUE	NA	NA
chr1	24413749	24416248	NR_136508	NIPAL3	promoter_1046	2.55597714574054	12	0	TRUE	NA	NA
chr10	89699589	89702088	NM_001382506	KIF20B	promoter_10462	1.68534981481115	6	0.00346708307307933	TRUE	NA	NA
chr10	89699589	89702088	NM_016195	KIF20B	promoter_10463	1.68534981481115	6	0.00346708307307933	TRUE	NA	NA
chr10	89699589	89702088	NM_001284259	KIF20B	promoter_10464	1.68534981481115	6	0.00346708307307933	TRUE	NA	NA
chr10	89699589	89702088	NR_168375	KIF20B	promoter_10465	1.68534981481115	6	0	TRUE	NA	NA
chr1	24413749	24416248	NM_001322856	NIPAL3	promoter_1047	2.55597714574054	12	0	TRUE	NA	NA
chr1	24413749	24416248	NM_001322855	NIPAL3	promoter_1048	2.55597714574054	12	0	TRUE	NA	NA
chr10	91161011	91163510	NR_046435	PCGF5	promoter_10481	2.87054795375311	7	0.00941700282752121	TRUE	5.13558626732911	TRUE
chr10	91161011	91163510	NM_001257101	PCGF5	promoter_10482	NA	NA	NA	NA	5.13558626732911	TRUE
chr1	24413801	24416300	NM_020448	NIPAL3	promoter_1049	2.64897974841488	12	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165099	BTAF1	promoter_10498	2.61741706519789	5	0	TRUE	NA	NA
chr10	91921769	91924268	NM_003972	BTAF1	promoter_10499	2.61741706519789	5	0	TRUE	NA	NA
chr1	24413801	24416300	NM_001322865	NIPAL3	promoter_1050	2.64897974841488	12	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165096	BTAF1	promoter_10500	2.61741706519789	5	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165097	BTAF1	promoter_10501	2.61741706519789	5	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165103	BTAF1	promoter_10502	2.61741706519789	5	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165094	BTAF1	promoter_10503	2.61741706519789	5	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165092	BTAF1	promoter_10504	2.61741706519789	5	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165104	BTAF1	promoter_10505	2.61741706519789	5	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165090	BTAF1	promoter_10506	2.61741706519789	5	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165091	BTAF1	promoter_10507	2.61741706519789	5	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165102	BTAF1	promoter_10508	2.61741706519789	5	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165101	BTAF1	promoter_10509	2.61741706519789	5	0	TRUE	NA	NA
chr1	24414024	24416523	NM_001322857	NIPAL3	promoter_1051	2.64897974841488	12	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165093	BTAF1	promoter_10510	2.61741706519789	5	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165095	BTAF1	promoter_10511	2.61741706519789	5	0	TRUE	NA	NA
chr10	91921769	91924268	NR_165098	BTAF1	promoter_10512	2.61741706519789	5	0	TRUE	NA	NA
chr10	92573007	92575506	NM_001322796	IDE	promoter_10518	NA	NA	NA	NA	4.33178330419365	TRUE
chr1	24501883	24504382	NR_045407	RCAN3AS	promoter_1052	2.21315443631973	6	0	TRUE	3.99029856960498	TRUE
chr10	92591129	92593628	NM_004523	KIF11	promoter_10525	NA	NA	NA	NA	4.76732945248197	TRUE
chr1	24501883	24504382	NR_045408	RCAN3AS	promoter_1053	2.21315443631973	6	0	TRUE	3.99029856960498	TRUE
chr1	24501883	24504382	NR_045409	RCAN3AS	promoter_1054	2.21315443631973	6	0	TRUE	3.99029856960498	TRUE
chr1	24501883	24504382	NR_144360	RCAN3AS	promoter_1055	2.21315443631973	6	0	TRUE	3.99029856960498	TRUE
chr1	24500343	24502842	NM_001251979	RCAN3	promoter_1056	2.22860637827398	5	0	TRUE	NA	NA
chr10	94400540	94403039	NM_015188	TBC1D12	promoter_10569	1.92548360073005	8	0	TRUE	NA	NA
chr1	24500350	24502849	NM_001251984	RCAN3	promoter_1057	2.22860637827398	5	0	TRUE	NA	NA
chr1	24500835	24503334	NM_001251977	RCAN3	promoter_1058	2.11011457266805	5	0	TRUE	NA	NA
chr10	95290504	95293003	NM_020992	PDLIM1	promoter_10589	2.17549370154721	5	0	TRUE	NA	NA
chr1	24500835	24503334	NM_013441	RCAN3	promoter_1059	2.11011457266805	5	0	TRUE	NA	NA
chr10	95440681	95443180	NM_001034955	SORBS1	promoter_10593	2.53159670464758	9	0	TRUE	NA	NA
chr1	24500896	24503395	NM_001251983	RCAN3	promoter_1060	2.13815195062389	5	0	TRUE	3.99029856960498	TRUE
chr1	24500896	24503395	NM_001251981	RCAN3	promoter_1061	2.13815195062389	5	0	TRUE	3.99029856960498	TRUE
chr10	95440681	95443180	NM_001034956	SORBS1	promoter_10615	2.53159670464758	9	0	TRUE	NA	NA
chr10	95440681	95443180	NM_001290296	SORBS1	promoter_10618	2.53159670464758	9	0	TRUE	NA	NA
chr10	95440681	95443180	NM_001034954	SORBS1	promoter_10627	2.53159670464758	9	0	TRUE	NA	NA
chr1	24555525	24558024	NR_109781	NCMAP-DT	promoter_1066	2.19494401418677	8	0	TRUE	NA	NA
chr1	24641301	24643800	NM_001366600	SRRM1	promoter_1068	2.9325484748701	5	0	TRUE	NA	NA
chr1	24641301	24643800	NM_001303448	SRRM1	promoter_1069	2.9325484748701	5	0	TRUE	NA	NA
chr1	24641301	24643800	NM_001366565	SRRM1	promoter_1070	2.9325484748701	5	0	TRUE	NA	NA
chr10	96830297	96832796	NM_001346516	LCOR	promoter_10708	NA	NA	NA	NA	3.92762230179646	TRUE
chr10	96830297	96832796	NM_001170766	LCOR	promoter_10709	NA	NA	NA	NA	3.92762230179646	TRUE
chr1	24641301	24643800	NM_001366584	SRRM1	promoter_1071	2.9325484748701	5	0	TRUE	NA	NA
chr10	96830297	96832796	NM_001170765	LCOR	promoter_10710	NA	NA	NA	NA	3.92762230179646	TRUE
chr10	96830944	96833443	NM_032440	LCOR	promoter_10711	NA	NA	NA	NA	3.92762230179646	TRUE
chr10	97317270	97319769	NM_005479	FRAT1	promoter_10718	3.36625871140175	12	0	TRUE	NA	NA
chr10	97334230	97336729	NM_012083	FRAT2	promoter_10719	2.73247724076157	6	0	TRUE	NA	NA
chr1	24641301	24643800	NM_001366572	SRRM1	promoter_1072	2.9325484748701	5	0	TRUE	NA	NA
chr10	97400841	97403340	NM_001284337	RRP12	promoter_10720	1.84930152522947	5	0	TRUE	NA	NA
chr10	97400871	97403370	NM_001145114	RRP12	promoter_10721	1.84930152522947	5	0	TRUE	NA	NA
chr10	97400841	97403340	NM_015179	RRP12	promoter_10722	1.84930152522947	5	0	TRUE	NA	NA
chr10	97425558	97428057	NR_157582	LOC644215	promoter_10723	1.84387341304927	5	0	TRUE	4.58916902212162	TRUE
chr10	97424190	97426689	NM_002629	PGAM1	promoter_10724	2.16725901673843	8	0	TRUE	4.58916902212162	TRUE
chr1	24641301	24643800	NM_001366591	SRRM1	promoter_1073	2.9325484748701	5	0	TRUE	NA	NA
chr1	24641301	24643800	NM_001366566	SRRM1	promoter_1074	2.9325484748701	5	0	TRUE	NA	NA
chr1	24641301	24643800	NM_001366589	SRRM1	promoter_1075	2.9325484748701	5	0	TRUE	NA	NA
chr10	97587720	97590219	NM_001009997	C10orf62	promoter_10759	2.35636641531692	7	0	TRUE	NA	NA
chr1	24641301	24643800	NM_001366588	SRRM1	promoter_1076	2.9325484748701	5	0	TRUE	NA	NA
chr10	97686742	97689241	NM_021732	AVPI1	promoter_10763	2.00377499006518	6	0	TRUE	NA	NA
chr1	24641301	24643800	NM_001366575	SRRM1	promoter_1077	2.9325484748701	5	0	TRUE	NA	NA
chr10	97736476	97738975	NM_001002261	ZFYVE27	promoter_10771	2.46970329253912	7	0	TRUE	NA	NA
chr10	98132623	98135122	NM_001256620	R3HCC1L	promoter_10778	NA	NA	NA	NA	3.68651953743662	TRUE
chr10	98132656	98135155	NM_001351013	R3HCC1L	promoter_10779	NA	NA	NA	NA	3.68651953743662	TRUE
chr1	24641301	24643800	NM_005839	SRRM1	promoter_1078	2.9325484748701	5	0	TRUE	NA	NA
chr10	98132656	98135155	NM_001351014	R3HCC1L	promoter_10780	NA	NA	NA	NA	3.68651953743662	TRUE
chr10	98132656	98135155	NM_001351016	R3HCC1L	promoter_10781	NA	NA	NA	NA	3.68651953743662	TRUE
chr10	98132656	98135155	NM_014472	R3HCC1L	promoter_10782	NA	NA	NA	NA	3.68651953743662	TRUE
chr10	98132656	98135155	NM_001351011	R3HCC1L	promoter_10783	NA	NA	NA	NA	3.68651953743662	TRUE
chr10	98132656	98135155	NM_001351010	R3HCC1L	promoter_10784	NA	NA	NA	NA	3.68651953743662	TRUE
chr10	98132656	98135155	NM_001351017	R3HCC1L	promoter_10785	NA	NA	NA	NA	3.68651953743662	TRUE
chr10	98132656	98135155	NM_001351015	R3HCC1L	promoter_10786	NA	NA	NA	NA	3.68651953743662	TRUE
chr10	98132656	98135155	NM_001351012	R3HCC1L	promoter_10787	NA	NA	NA	NA	3.68651953743662	TRUE
chr10	98132656	98135155	NM_001256621	R3HCC1L	promoter_10788	NA	NA	NA	NA	3.68651953743662	TRUE
chr10	98132656	98135155	NM_001256619	R3HCC1L	promoter_10789	NA	NA	NA	NA	3.68651953743662	TRUE
chr1	24641301	24643800	NM_001366593	SRRM1	promoter_1079	2.9325484748701	5	0	TRUE	NA	NA
chr10	98132656	98135155	NM_138469	R3HCC1L	promoter_10790	NA	NA	NA	NA	3.68651953743662	TRUE
chr1	24641301	24643800	NM_001366590	SRRM1	promoter_1080	2.9325484748701	5	0	TRUE	NA	NA
chr1	24641301	24643800	NM_001366570	SRRM1	promoter_1081	2.9325484748701	5	0	TRUE	NA	NA
chr1	24641301	24643800	NM_001366568	SRRM1	promoter_1082	2.9325484748701	5	0	TRUE	NA	NA
chr1	24641301	24643800	NM_001366567	SRRM1	promoter_1083	2.9325484748701	5	0	TRUE	NA	NA
chr10	99731628	99734127	NM_001320974	COX15	promoter_10834	2.92622797468175	7	0	TRUE	5.45426673322218	TRUE
chr10	99731628	99734127	NM_001372025	COX15	promoter_10835	2.92622797468175	7	0	TRUE	5.45426673322218	TRUE
chr10	99731628	99734127	NM_001372028	COX15	promoter_10836	2.92622797468175	7	0	TRUE	5.45426673322218	TRUE
chr10	99731628	99734127	NM_001372027	COX15	promoter_10837	2.92622797468175	7	0	TRUE	5.45426673322218	TRUE
chr10	99731628	99734127	NM_001372026	COX15	promoter_10838	2.92622797468175	7	0.00941700282752121	TRUE	5.45426673322218	TRUE
chr10	99731628	99734127	NM_078470	COX15	promoter_10839	2.92622797468175	7	0	TRUE	5.45426673322218	TRUE
chr1	24641301	24643800	NM_001366586	SRRM1	promoter_1084	2.9325484748701	5	0	TRUE	NA	NA
chr10	99731628	99734127	NM_001372024	COX15	promoter_10840	2.92622797468175	7	0	TRUE	5.45426673322218	TRUE
chr10	99731628	99734127	NM_004376	COX15	promoter_10841	2.92622797468175	7	0	TRUE	5.45426673322218	TRUE
chr10	99731628	99734127	NM_001320976	COX15	promoter_10842	2.92622797468175	7	0	TRUE	5.45426673322218	TRUE
chr10	99731628	99734127	NM_001320975	COX15	promoter_10843	2.92622797468175	7	0	TRUE	5.45426673322218	TRUE
chr10	99731628	99734127	NR_164009	COX15	promoter_10844	2.92622797468175	7	0	TRUE	5.45426673322218	TRUE
chr10	99780639	99783138	NM_000392	ABCC2	promoter_10846	1.81175247094457	6	0	TRUE	5.59197663890768	TRUE
chr10	99913593	99916092	NM_001318327	DNMBP	promoter_10847	2.20614583263218	6	0	TRUE	NA	NA
chr10	100009448	100011947	NM_015221	DNMBP	promoter_10848	NA	NA	NA	NA	4.77859211509968	TRUE
chr10	99930408	99932907	NM_001318326	DNMBP	promoter_10849	2.0282454587015	8	0	TRUE	NA	NA
chr1	24641301	24643800	NM_001366592	SRRM1	promoter_1085	2.9325484748701	5	0	TRUE	NA	NA
chr10	100185530	100188029	NR_144760	ERLIN1	promoter_10852	1.8754517926794	5	0	TRUE	NA	NA
chr10	100185530	100188029	NR_144759	ERLIN1	promoter_10853	1.8754517926794	5	0	TRUE	NA	NA
chr1	24641301	24643800	NM_001366582	SRRM1	promoter_1086	2.9325484748701	5	0	TRUE	NA	NA
chr10	100185530	100188029	NM_001347860	ERLIN1	promoter_10860	1.8754517926794	5	0	TRUE	NA	NA
