chr	start	end	geneID	geneSymbol	symbol	LTMeanCnt	LTCountValid	LTadjPval	enrichSig	SigPeakValue	ovSig
chr16	66552562	66566287	NM_016326	CKLF	genebody_12462					4.93814828130692	TRUE
chr17	77287890	77500596	NM_001113492	SEPTIN9	genebody_1248	2.05500746332887	490	0	TRUE	5.56386693028371	TRUE
chr17	77287890	77500596	NM_001113492	SEPTIN9	genebody_1248	2.05500746332887	490	0	TRUE	5.56386693028371	TRUE
chr17	77287890	77500596	NM_001113492	SEPTIN9	genebody_1248	2.05500746332887	490	0	TRUE	5.56386693028371	TRUE
chr5	94150855	94618604	NM_001145678	KIAA0825	genebody_1249					4.09699079123173	TRUE
chr2	164657930	164842076	NM_001365671	COBLL1	genebody_1252					3.41984322891014	TRUE
chr4	102794382	102868893	NM_181893	UBE2D3	genebody_12520					5.28517343561877	TRUE
chr4	102794382	102827183	NM_181892	UBE2D3	genebody_12521	1.96832261665029	75	0	TRUE	5.28517343561877	TRUE
chr4	102794382	102827551	NM_181891	UBE2D3	genebody_12522	1.95425430919022	75	0	TRUE	5.28517343561877	TRUE
chr4	102794382	102828180	NM_181889	UBE2D3	genebody_12523					5.28517343561877	TRUE
chr12	56162358	56189483	NM_001330288	SMARCC2	genebody_12534					5.00747809126697	TRUE
chr16	71895530	71931196	NM_001270975	IST1	genebody_12541	2.26494009984841	125	0	TRUE	5.46066654038485	TRUE
chr16	71895530	71931196	NM_001270975	IST1	genebody_12541	2.26494009984841	125	0	TRUE	5.46066654038485	TRUE
chr16	71895530	71931196	NM_001270975	IST1	genebody_12541	2.26494009984841	125	0	TRUE	5.46066654038485	TRUE
chr16	71895530	71931196	NM_001270975	IST1	genebody_12541	2.26494009984841	125	0	TRUE	5.46066654038485	TRUE
chr20	19758257	20002456	NM_018993	RIN2	genebody_12546					3.45624226329569	TRUE
chr20	19758257	20002456	NM_018993	RIN2	genebody_12546					3.45624226329569	TRUE
chr9	87498534	87708634	NM_001288729	DAPK1	genebody_1259					4.88850738782111	TRUE
chr6	70667882	70861993	NM_021940	SMAP1	genebody_12597					4.07523490329301	TRUE
chr10	121740420	121928801	NM_001288736	ATE1	genebody_1261					4.10947647110521	TRUE
chr10	121740420	121928063	NM_001288735	ATE1	genebody_1262					4.10947647110521	TRUE
chr8	74599865	74758352	NR_033830	MIR2052HG	genebody_12681					3.62707895554578	TRUE
chr10	114431109	114685003	NM_001322882	ABLIM1	genebody_12718					3.49962555298906	TRUE
chr2	40097269	40452090	NM_001351494	SLC8A1	genebody_12734					4.39292915034159	TRUE
chr2	42350495	42361243	NM_001319040	COX7A2L	genebody_12737	1.96118238962331	23	0	TRUE		
chr8	129839592	130016560	NM_001353286	CYRIB	genebody_12746					3.45548488861159	TRUE
chr17	65009288	65056740	NM_006572	GNA13	genebody_12764	2.06825331644707	121	0	TRUE		
chr8	30156368	30183639	NM_006571	DCTN6	genebody_12765					3.89863726352345	TRUE
chr8	30156368	30183639	NM_006571	DCTN6	genebody_12765					3.89863726352345	TRUE
chr11	57761801	57819540	NM_001085464	CTNND1	genebody_12783	1.93284894268751	128	0	TRUE	4.75262973426527	TRUE
chr11	57761801	57819540	NM_001085464	CTNND1	genebody_12783	1.93284894268751	128	0	TRUE	4.75262973426527	TRUE
chr7	8113184	8262167	NM_001350819	ICA1	genebody_12790					4.14695591532702	TRUE
chr7	8113184	8262167	NM_001350820	ICA1	genebody_12791					4.14695591532702	TRUE
chr11	119381777	119499233	NR_034160	USP2-AS1	genebody_12801					4.64637966044475	TRUE
chr21	31670999	31732118	NM_001145445	SCAF4	genebody_12814					3.91481521228386	TRUE
chr21	31670999	31732118	NM_001145445	SCAF4	genebody_12814					3.91481521228386	TRUE
chr12	132603150	132610582	NM_001195520	LRCOL1	genebody_12817	1.97671058688244	15	0	TRUE		
chr11	130226678	130314712	NM_014155	ZBTB44	genebody_12837					4.62119881129623	TRUE
chr16	11750596	11797258	NM_014153	ZC3H7A	genebody_12839	1.95127565255057	101	0	TRUE		
chr5_GL339449v2_alt	343138	378166	NM_001376001	GTF2H2C	genebody_12850					4.11810065871355	TRUE
